company,cik,date,accession,stress_score,avg_negative,avg_positive,avg_neutral,sc_paragraph_count,sc_paragraph_ratio,keyword_density,quarter,port_stress_index,port_stress_lag1q,port_stress_lag2q,event
3M,66740,2019-04-26,0001558370-19-003408,0.0903,0.0463,0.0722,0.8814,5,0.8333,3.8591,2019-04-01,0.13256395740122887,0.14610873734255148,,
Apple,320193,2019-01-30,0000320193-19-000010,0.0684,0.0366,0.0424,0.921,5,0.1786,2.8517,2019-01-01,0.14610873734255148,,,
Apple,320193,2019-05-01,0000320193-19-000066,0.0521,0.0454,0.0267,0.928,3,0.1765,1.3538,2019-04-01,0.13256395740122887,0.14610873734255148,,
Apple,320193,2019-07-31,0000320193-19-000076,0.0377,0.0344,0.0235,0.9421,2,0.125,0.9029,2019-07-01,0.20921598953759624,0.13256395740122887,0.14610873734255148,
Apple,320193,2020-01-29,0000320193-20-000010,0.0381,0.0347,0.0233,0.9419,2,0.0833,0.9204,2020-01-01,0.24146046190343415,0.217271903854113,0.20921598953759624,
Apple,320193,2020-05-01,0000320193-20-000052,0.0379,0.0347,0.0233,0.9419,2,0.125,0.9025,2020-04-01,0.31096665432156567,0.24146046190343415,0.217271903854113,COVID port shutdowns
FedEx,1048911,2019-03-19,0001564590-19-008444,0.0574,0.0533,0.0359,0.9108,1,0.5,1.3381,2019-01-01,0.14610873734255148,,,
FedEx,1048911,2019-09-17,0001564590-19-034896,0.1145,0.1071,0.0305,0.8624,3,0.375,2.6385,2019-07-01,0.20921598953759624,0.13256395740122887,0.14610873734255148,
FedEx,1048911,2019-12-17,0001564590-19-046220,0.0651,0.065,0.0352,0.8997,1,0.5,1.3038,2019-10-01,0.217271903854113,0.20921598953759624,0.13256395740122887,
FedEx,1048911,2020-03-17,0001564590-20-011411,0.0619,0.0605,0.0356,0.9039,1,0.5,1.301,2020-01-01,0.24146046190343415,0.217271903854113,0.20921598953759624,
